"Статус","Количество"
"Final","pep-0614"
"Final","pep-0618"
"Final","pep-0621"
"Final","pep-0624"
"Final","pep-0626"
"Final","pep-0628"
"Final","pep-0629"
"Final","pep-0643"
"Final","pep-0644"
"Final","pep-0652"
"Final","pep-0657"
"Final","pep-0682"
"Final","pep-3101"
"Final","pep-3102"
"Final","pep-3104"
"Final","pep-3105"
"Final","pep-3106"
"Final","pep-3107"
"Final","pep-3108"
"Final","pep-3109"
"Final","pep-3110"
"Final","pep-3111"
"Final","pep-3112"
"Final","pep-3113"
"Final","pep-3114"
"Final","pep-3115"
"Final","pep-3116"
"Final","pep-3118"
"Final","pep-3119"
"Final","pep-3120"
"Final","pep-3123"
"Final","pep-3127"
"Final","pep-3129"
"Final","pep-3131"
"Final","pep-3132"
"Final","pep-3134"
"Final","pep-3135"
"Final","pep-3137"
"Final","pep-3138"
"Final","pep-3141"
"Final","pep-3144"
"Final","pep-3147"
"Final","pep-3148"
"Final","pep-3149"
"Final","pep-3151"
"Final","pep-3154"
"Final","pep-3155"
"Final","pep-3156"
"Superseded","pep-0002"
"Final","pep-0160"
"Final","pep-0200"
"Final","pep-0226"
"Final","pep-0251"
"Final","pep-0283"
"Final","pep-0320"
"Final","pep-0347"
"Final","pep-0356"
"Final","pep-0360"
"Final","pep-0361"
"Final","pep-0373"
"Final","pep-0374"
"Final","pep-0375"
"Final","pep-0385"
"Final","pep-0392"
"Final","pep-0398"
"Final","pep-0429"
"Superseded","pep-0438"
"Final","pep-0449"
"Final","pep-0464"
"Final","pep-0470"
"Final","pep-0494"
"Final","pep-0512"
"Final","pep-0527"
"Final","pep-0541"
"Final","pep-0545"
"Final","pep-3000"
"Final","pep-3002"
"Final","pep-3003"
"Final","pep-3099"
"Final","pep-3100"
"Final","pep-8001"
"Deferred","pep-0213"
"Deferred","pep-0219"
"Deferred","pep-0222"
"Deferred","pep-0233"
"Deferred","pep-0262"
"Deferred","pep-0267"
"Deferred","pep-0269"
"Deferred","pep-0280"
"Deferred","pep-0286"
"Deferred","pep-0312"
"Deferred","pep-0316"
"Deferred","pep-0323"
"Deferred","pep-0337"
"Deferred","pep-0368"
"Deferred","pep-0400"
"Deferred","pep-0403"
"Deferred","pep-0407"
"Deferred","pep-0419"
"Deferred","pep-0423"
"Deferred","pep-0444"
"Deferred","pep-0447"
"Deferred","pep-0491"
"Deferred","pep-0499"
"Deferred","pep-0501"
"Deferred","pep-0505"
"Deferred","pep-0532"
"Deferred","pep-0533"
"Deferred","pep-0534"
"Deferred","pep-0535"
"Deferred","pep-0536"
"Deferred","pep-0547"
"Deferred","pep-0556"
"Deferred","pep-0568"
"Deferred","pep-3124"
"Deferred","pep-3143"
"Deferred","pep-3150"
"Withdrawn","pep-0003"
"Withdrawn","pep-0009"
"Withdrawn","pep-0042"
"Superseded","pep-0102"
"Withdrawn","pep-0103"
"Rejected","pep-0204"
"Withdrawn","pep-0206"
"Withdrawn","pep-0209"
"Rejected","pep-0210"
"Rejected","pep-0211"
"Rejected","pep-0212"
"Superseded","pep-0215"
"Rejected","pep-0216"
"Rejected","pep-0220"
"Rejected","pep-0224"
"Rejected","pep-0225"
"Withdrawn","pep-0228"
"Rejected","pep-0231"
"Rejected","pep-0239"
"Rejected","pep-0240"
"Rejected","pep-0242"
"Withdrawn","pep-0243"
"Rejected","pep-0244"
"Rejected","pep-0245"
"Rejected","pep-0246"
"Rejected","pep-0254"
"Rejected","pep-0256"
"Rejected","pep-0258"
"Rejected","pep-0259"
"Rejected","pep-0265"
"Withdrawn","pep-0266"
"Rejected","pep-0268"
"Rejected","pep-0270"
"Rejected","pep-0271"
"Rejected","pep-0275"
"Rejected","pep-0276"
"Rejected","pep-0281"
"Rejected","pep-0284"
"Withdrawn","pep-0288"
"Rejected","pep-0294"
"Rejected","pep-0295"
"Withdrawn","pep-0296"
"Rejected","pep-0297"
"Withdrawn","pep-0298"
"Rejected","pep-0299"
"Rejected","pep-0303"
"Withdrawn","pep-0304"
"Withdrawn","pep-0306"
"Rejected","pep-0310"
"Rejected","pep-0313"
"Rejected","pep-0315"
"Rejected","pep-0317"
"Rejected","pep-0319"
"Withdrawn","pep-0321"
"Rejected","pep-0325"
"Rejected","pep-0326"
"Rejected","pep-0329"
"Rejected","pep-0330"
"Rejected","pep-0332"
"Withdrawn","pep-0334"
"Rejected","pep-0335"
"Rejected","pep-0336"
"Withdrawn","pep-0339"
"Rejected","pep-0340"
"Superseded","pep-0344"
"Withdrawn","pep-0346"
"Rejected","pep-0348"
"Rejected","pep-0349"
"Rejected","pep-0350"
"Rejected","pep-0351"
"Superseded","pep-0354"
"Rejected","pep-0355"
"Withdrawn","pep-0359"
"Rejected","pep-0363"
"Withdrawn","pep-0364"
"Rejected","pep-0365"
"Superseded","pep-0367"
"Withdrawn","pep-0369"
"Rejected","pep-0377"
"Withdrawn","pep-0379"
"Withdrawn","pep-0381"
"Rejected","pep-0382"
"Superseded","pep-0386"
"Rejected","pep-0390"
"Withdrawn","pep-0395"
"Rejected","pep-0396"
"April Fool!","pep-0401"
"Rejected","pep-0402"
"Withdrawn","pep-0406"
"Rejected","pep-0408"
"Rejected","pep-0410"
"Withdrawn","pep-0413"
"Rejected","pep-0416"
"Withdrawn","pep-0422"
"Withdrawn","pep-0426"
"Superseded","pep-0431"
"Withdrawn","pep-0432"
"Superseded","pep-0433"
"Rejected","pep-0437"
"Rejected","pep-0439"
"Rejected","pep-0455"
"Withdrawn","pep-0459"
"Withdrawn","pep-0460"
"Withdrawn","pep-0462"
"Rejected","pep-0463"
"Withdrawn","pep-0469"
"Rejected","pep-0472"
"Rejected","pep-0473"
"Withdrawn","pep-0474"
"Withdrawn","pep-0481"
"Rejected","pep-0490"
"Rejected","pep-0496"
"Rejected","pep-0497"
"Rejected","pep-0500"
"Rejected","pep-0502"
"Withdrawn","pep-0504"
"Rejected","pep-0507"
"Rejected","pep-0510"
"Rejected","pep-0511"
"Superseded","pep-0513"
"Rejected","pep-0516"
"Withdrawn","pep-0521"
"Rejected","pep-0522"
"Withdrawn","pep-0531"
"Rejected","pep-0542"
"Withdrawn","pep-0543"
"Rejected","pep-0546"
"Rejected","pep-0548"
"Rejected","pep-0549"
"Withdrawn","pep-0550"
"Withdrawn","pep-0551"
"Withdrawn","pep-0555"
"Rejected","pep-0559"
"Superseded","pep-0571"
"Withdrawn","pep-0575"
"Withdrawn","pep-0576"
"Withdrawn","pep-0577"
"Rejected","pep-0580"
"Withdrawn","pep-0583"
"Withdrawn","pep-0595"
"Withdrawn","pep-0598"
"Superseded","pep-0599"
"Rejected","pep-0601"
"Rejected","pep-0605"
"Rejected","pep-0606"
"Rejected","pep-0608"
"Withdrawn","pep-0611"
"Superseded","pep-0622"
"Superseded","pep-0631"
"Rejected","pep-0633"
"Rejected","pep-0637"
"Rejected","pep-0640"
"Rejected","pep-0641"
"Rejected","pep-0642"
"Withdrawn","pep-0645"
"Rejected","pep-0648"
"Rejected","pep-0651"
"Rejected","pep-0662"
"Rejected","pep-0663"
"Rejected","pep-0665"
"Rejected","pep-0666"
"Rejected","pep-0677"
"Rejected","pep-0754"
"Withdrawn","pep-3001"
"Rejected","pep-3103"
"Rejected","pep-3117"
"Rejected","pep-3122"
"Rejected","pep-3125"
"Rejected","pep-3126"
"Rejected","pep-3128"
"Rejected","pep-3130"
"Rejected","pep-3133"
"Rejected","pep-3136"
"Rejected","pep-3139"
"Rejected","pep-3140"
"Rejected","pep-3142"
"Withdrawn","pep-3145"
"Withdrawn","pep-3146"
"Rejected","pep-3152"
"Superseded","pep-3153"
"Rejected","pep-8010"
"Rejected","pep-8011"
"Rejected","pep-8012"
"Rejected","pep-8013"
"Rejected","pep-8014"
"Rejected","pep-8015"
