"Статус","Количество"
"Active","pep-0001"
"Active","pep-0004"
"Active","pep-0005"
"Active","pep-0006"
"Active","pep-0007"
"Active","pep-0008"
"Active","pep-0010"
"Active","pep-0011"
"Active","pep-0012"
"Active","pep-0387"
"Accepted","pep-0581"
"Active","pep-0609"
"Active","pep-0676"
"Active","pep-0013"
"Active","pep-0020"
"Active","pep-0101"
"Final","pep-0247"
"Final","pep-0248"
"Final","pep-0249"
"Active","pep-0257"
"Final","pep-0272"
"Active","pep-0287"
"Active","pep-0290"
"Final","pep-0291"
"Final","pep-0333"
"Active","pep-0394"
"Final","pep-0399"
"Final","pep-0404"
"Active","pep-0411"
"Final","pep-0430"
"Active","pep-0434"
"Active","pep-0440"
"Final","pep-0452"
"Final","pep-0457"
"Active","pep-0478"
"Final","pep-0482"
"Final","pep-0483"
"Accepted","pep-0503"
"Active","pep-0508"
"Active","pep-0514"
"Active","pep-0537"
"Active","pep-0569"
"Final","pep-0579"
"Active","pep-0596"
"Accepted","pep-0600"
"Accepted","pep-0602"
"Final","pep-0607"
"Accepted","pep-0627"
"Active","pep-0630"
"Final","pep-0635"
"Final","pep-0636"
"Accepted","pep-0656"
"Active","pep-0672"
"Final","pep-3333"
"Active","pep-8000"
"Active","pep-8002"
"Accepted","pep-8016"
"Active","pep-8100"
"Active","pep-8101"
"Active","pep-8102"
"Active","pep-8103"
"Accepted","pep-0458"
"Accepted","pep-0544"
"Accepted","pep-0560"
"Accepted","pep-0561"
"Accepted","pep-0563"
"Accepted","pep-0572"
"Accepted","pep-0578"
"Accepted","pep-0585"
"Accepted","pep-0586"
"Accepted","pep-0589"
"Accepted","pep-0590"
"Accepted","pep-0591"
"Accepted","pep-0593"
"Accepted","pep-0594"
"Accepted","pep-0604"
"Accepted","pep-0612"
"Accepted","pep-0613"
"Accepted","pep-0615"
"Accepted","pep-0616"
"Accepted","pep-0617"
"Accepted","pep-0623"
"Accepted","pep-0632"
"Accepted","pep-0634"
"Accepted","pep-0646"
"Accepted","pep-0647"
"Accepted","pep-0654"
"Accepted","pep-0655"
"Accepted","pep-0658"
"Accepted","pep-0660"
"Accepted","pep-0670"
"Accepted","pep-0673"
"Accepted","pep-0675"
"Accepted","pep-0678"
"Accepted","pep-0680"
"Accepted","pep-0685"
"Accepted","pep-3121"
"Draft","pep-0467"
"Draft","pep-0480"
"Draft","pep-0554"
"Draft","pep-0558"
"Draft","pep-0582"
"Draft","pep-0588"
"Draft","pep-0603"
"Draft","pep-0619"
"Draft","pep-0620"
"Draft","pep-0625"
"Draft","pep-0638"
"Draft","pep-0639"
"Draft","pep-0649"
"Draft","pep-0650"
"Draft","pep-0653"
"Draft","pep-0659"
"Draft","pep-0661"
"Draft","pep-0664"
"Draft","pep-0667"
"Draft","pep-0668"
"Draft","pep-0669"
"Draft","pep-0671"
"Draft","pep-0674"
"Draft","pep-0679"
"Draft","pep-0681"
"Draft","pep-0683"
"Draft","pep-0684"
"Draft","pep-0686"
"Draft","pep-0687"
"Draft","pep-0688"
"Draft","pep-0689"
"Draft","pep-0801"
"Final","pep-0100"
"Final","pep-0201"
"Final","pep-0202"
"Final","pep-0203"
"Final","pep-0205"
"Final","pep-0207"
"Final","pep-0208"
"Final","pep-0214"
"Final","pep-0217"
"Final","pep-0218"
"Final","pep-0221"
"Final","pep-0223"
"Final","pep-0227"
"Final","pep-0229"
"Final","pep-0230"
"Final","pep-0232"
"Final","pep-0234"
"Final","pep-0235"
"Final","pep-0236"
"Final","pep-0237"
"Final","pep-0238"
"Final","pep-0241"
"Final","pep-0250"
"Final","pep-0252"
"Final","pep-0253"
"Final","pep-0255"
"Final","pep-0260"
"Final","pep-0261"
"Final","pep-0263"
"Final","pep-0264"
"Final","pep-0273"
"Final","pep-0274"
"Final","pep-0277"
"Final","pep-0278"
"Final","pep-0279"
"Final","pep-0282"
"Final","pep-0285"
"Final","pep-0289"
"Final","pep-0292"
"Final","pep-0293"
"Final","pep-0301"
"Final","pep-0302"
"Final","pep-0305"
"Final","pep-0307"
"Final","pep-0308"
"Final","pep-0309"
"Final","pep-0311"
"Final","pep-0314"
"Final","pep-0318"
"Final","pep-0322"
"Final","pep-0324"
"Final","pep-0327"
"Final","pep-0328"
"Final","pep-0331"
"Final","pep-0338"
"Final","pep-0341"
"Final","pep-0342"
"Final","pep-0343"
"Final","pep-0345"
"Final","pep-0352"
"Final","pep-0353"
"Final","pep-0357"
"Final","pep-0358"
"Final","pep-0362"
"Final","pep-0366"
"Final","pep-0370"
"Final","pep-0371"
"Final","pep-0372"
"Final","pep-0376"
"Final","pep-0378"
"Final","pep-0380"
"Final","pep-0383"
"Final","pep-0384"
"Final","pep-0389"
"Final","pep-0391"
"Final","pep-0393"
"Final","pep-0397"
"Final","pep-0405"
"Final","pep-0409"
"Final","pep-0412"
"Final","pep-0414"
"Final","pep-0415"
"Final","pep-0417"
"Final","pep-0418"
"Final","pep-0420"
"Final","pep-0421"
"Final","pep-0424"
"Final","pep-0425"
"Final","pep-0427"
"Final","pep-0428"
"Final","pep-0435"
"Final","pep-0436"
"Final","pep-0441"
"Final","pep-0442"
"Final","pep-0443"
"Final","pep-0445"
"Final","pep-0446"
"Final","pep-0448"
"Final","pep-0450"
"Final","pep-0451"
"Final","pep-0453"
"Final","pep-0454"
"Final","pep-0456"
"Final","pep-0461"
"Final","pep-0465"
"Final","pep-0466"
"Final","pep-0468"
"Final","pep-0471"
"Final","pep-0475"
"Final","pep-0476"
"Final","pep-0477"
"Final","pep-0479"
"Final","pep-0484"
"Final","pep-0485"
"Final","pep-0486"
"Final","pep-0487"
"Final","pep-0488"
"Final","pep-0489"
"Final","pep-0492"
"Final","pep-0493"
"Final","pep-0495"
"Final","pep-0498"
"Final","pep-0506"
"Final","pep-0509"
"Final","pep-0515"
"Final","pep-0517"
"Final","pep-0518"
"Final","pep-0519"
"Final","pep-0520"
"Final","pep-0523"
"Final","pep-0524"
"Final","pep-0525"
"Final","pep-0526"
"Final","pep-0528"
"Final","pep-0529"
"Final","pep-0530"
"Final","pep-0538"
"Final","pep-0539"
"Final","pep-0540"
"Final","pep-0552"
"Final","pep-0553"
"Final","pep-0557"
"Final","pep-0562"
"Final","pep-0564"
"Final","pep-0565"
"Final","pep-0566"
"Final","pep-0567"
"Final","pep-0570"
"Final","pep-0573"
"Final","pep-0574"
"Final","pep-0584"
"Final","pep-0587"
"Final","pep-0592"
"Final","pep-0597"
"Final","pep-0610"
