"Статус","Количество"
"Active","1"
"Active","2"
"Active","3"
"Active","4"
"Active","5"
"Active","6"
"Active","7"
"Active","8"
"Active","9"
"Active","10"
"Accepted","1"
"Active","11"
"Active","12"
"Active","13"
"Active","14"
"Active","15"
"Final","1"
"Final","2"
"Final","3"
"Active","16"
"Final","4"
"Active","17"
"Active","18"
"Final","5"
"Final","6"
"Active","19"
"Final","7"
"Final","8"
"Active","20"
"Final","9"
"Active","21"
"Active","22"
"Final","10"
"Final","11"
"Active","23"
"Final","12"
"Final","13"
"Accepted","2"
"Active","24"
"Active","25"
"Active","26"
"Active","27"
"Final","14"
"Active","28"
"Accepted","3"
"Accepted","4"
"Final","15"
"Accepted","5"
"Active","29"
"Final","16"
"Final","17"
"Accepted","6"
"Active","30"
"Final","18"
"Active","31"
"Active","32"
"Accepted","7"
"Active","33"
"Active","34"
"Active","35"
"Active","36"
"Accepted","8"
"Accepted","9"
"Accepted","10"
"Accepted","11"
"Accepted","12"
"Accepted","13"
"Accepted","14"
"Accepted","15"
"Accepted","16"
"Accepted","17"
"Accepted","18"
"Accepted","19"
"Accepted","20"
"Accepted","21"
"Accepted","22"
"Accepted","23"
"Accepted","24"
"Accepted","25"
"Accepted","26"
"Accepted","27"
"Accepted","28"
"Accepted","29"
"Accepted","30"
"Accepted","31"
"Accepted","32"
"Accepted","33"
"Accepted","34"
"Accepted","35"
"Accepted","36"
"Accepted","37"
"Accepted","38"
"Accepted","39"
"Accepted","40"
"Accepted","41"
"Accepted","42"
"Accepted","43"
"Draft","1"
"Draft","2"
"Draft","3"
"Draft","4"
"Draft","5"
"Draft","6"
"Draft","7"
"Draft","8"
"Draft","9"
"Draft","10"
"Draft","11"
"Draft","12"
"Draft","13"
"Draft","14"
"Draft","15"
"Draft","16"
"Draft","17"
"Draft","18"
"Draft","19"
"Draft","20"
"Draft","21"
"Draft","22"
"Draft","23"
"Draft","24"
"Draft","25"
"Draft","26"
"Draft","27"
"Draft","28"
"Draft","29"
"Draft","30"
"Draft","31"
"Draft","32"
"Final","19"
"Final","20"
"Final","21"
"Final","22"
"Final","23"
"Final","24"
"Final","25"
"Final","26"
"Final","27"
"Final","28"
"Final","29"
"Final","30"
"Final","31"
"Final","32"
"Final","33"
"Final","34"
"Final","35"
"Final","36"
"Final","37"
"Final","38"
"Final","39"
"Final","40"
"Final","41"
"Final","42"
"Final","43"
"Final","44"
"Final","45"
"Final","46"
"Final","47"
"Final","48"
"Final","49"
"Final","50"
"Final","51"
"Final","52"
"Final","53"
"Final","54"
"Final","55"
"Final","56"
"Final","57"
"Final","58"
"Final","59"
"Final","60"
"Final","61"
"Final","62"
"Final","63"
"Final","64"
"Final","65"
"Final","66"
"Final","67"
"Final","68"
"Final","69"
"Final","70"
"Final","71"
"Final","72"
"Final","73"
"Final","74"
"Final","75"
"Final","76"
"Final","77"
"Final","78"
"Final","79"
"Final","80"
"Final","81"
"Final","82"
"Final","83"
"Final","84"
"Final","85"
"Final","86"
"Final","87"
"Final","88"
"Final","89"
"Final","90"
"Final","91"
"Final","92"
"Final","93"
"Final","94"
"Final","95"
"Final","96"
"Final","97"
"Final","98"
"Final","99"
"Final","100"
"Final","101"
"Final","102"
"Final","103"
"Final","104"
"Final","105"
"Final","106"
"Final","107"
"Final","108"
"Final","109"
"Final","110"
"Final","111"
"Final","112"
"Final","113"
"Final","114"
"Final","115"
"Final","116"
"Final","117"
"Final","118"
"Final","119"
"Final","120"
"Final","121"
"Final","122"
"Final","123"
"Final","124"
"Final","125"
"Final","126"
"Final","127"
"Final","128"
"Final","129"
"Final","130"
"Final","131"
"Final","132"
"Final","133"
"Final","134"
"Final","135"
"Final","136"
"Final","137"
"Final","138"
"Final","139"
"Final","140"
"Final","141"
"Final","142"
"Final","143"
"Final","144"
"Final","145"
"Final","146"
"Final","147"
"Final","148"
"Final","149"
"Final","150"
"Final","151"
"Final","152"
"Final","153"
"Final","154"
"Final","155"
"Final","156"
"Final","157"
"Final","158"
"Final","159"
"Final","160"
"Final","161"
"Final","162"
"Final","163"
"Final","164"
"Final","165"
"Final","166"
"Final","167"
"Final","168"
"Final","169"
"Final","170"
"Final","171"
"Final","172"
"Final","173"
"Final","174"
"Final","175"
"Final","176"
"Final","177"
"Final","178"
"Final","179"
"Final","180"
"Final","181"
"Final","182"
"Final","183"
"Final","184"
"Final","185"
"Final","186"
"Final","187"
"Final","188"
"Final","189"
"Final","190"
"Final","191"
"Final","192"
"Final","193"
"Final","194"
"Final","195"
"Final","196"
"Final","197"
"Final","198"
"Final","199"
"Final","200"
"Final","201"
"Final","202"
"Final","203"
"Final","204"
"Final","205"
"Final","206"
"Final","207"
"Final","208"
"Final","209"
"Final","210"
"Final","211"
"Final","212"
"Final","213"
"Final","214"
"Final","215"
"Final","216"
"Final","217"
"Final","218"
"Final","219"
"Final","220"
"Final","221"
"Superseded","1"
"Final","222"
"Final","223"
"Final","224"
"Final","225"
"Final","226"
"Final","227"
"Final","228"
"Final","229"
"Final","230"
"Final","231"
"Final","232"
"Final","233"
"Final","234"
"Final","235"
"Final","236"
"Final","237"
"Final","238"
"Superseded","2"
"Final","239"
"Final","240"
"Final","241"
"Final","242"
"Final","243"
"Final","244"
"Final","245"
"Final","246"
"Final","247"
"Final","248"
"Final","249"
"Final","250"
"Final","251"
"Final","252"
"Deferred","1"
"Deferred","2"
"Deferred","3"
"Deferred","4"
"Deferred","5"
"Deferred","6"
"Deferred","7"
"Deferred","8"
"Deferred","9"
"Deferred","10"
"Deferred","11"
"Deferred","12"
"Deferred","13"
"Deferred","14"
"Deferred","15"
"Deferred","16"
"Deferred","17"
"Deferred","18"
"Deferred","19"
"Deferred","20"
"Deferred","21"
"Deferred","22"
"Deferred","23"
"Deferred","24"
"Deferred","25"
"Deferred","26"
"Deferred","27"
"Deferred","28"
"Deferred","29"
"Deferred","30"
"Deferred","31"
"Deferred","32"
"Deferred","33"
"Deferred","34"
"Deferred","35"
"Deferred","36"
"Withdrawn","1"
"Withdrawn","2"
"Withdrawn","3"
"Superseded","3"
"Withdrawn","4"
"Rejected","1"
"Withdrawn","5"
"Withdrawn","6"
"Rejected","2"
"Rejected","3"
"Rejected","4"
"Superseded","4"
"Rejected","5"
"Rejected","6"
"Rejected","7"
"Rejected","8"
"Withdrawn","7"
"Rejected","9"
"Rejected","10"
"Rejected","11"
"Rejected","12"
"Withdrawn","8"
"Rejected","13"
"Rejected","14"
"Rejected","15"
"Rejected","16"
"Rejected","17"
"Rejected","18"
"Rejected","19"
"Rejected","20"
"Withdrawn","9"
"Rejected","21"
"Rejected","22"
"Rejected","23"
"Rejected","24"
"Rejected","25"
"Rejected","26"
"Rejected","27"
"Withdrawn","10"
"Rejected","28"
"Rejected","29"
"Withdrawn","11"
"Rejected","30"
"Withdrawn","12"
"Rejected","31"
"Rejected","32"
"Withdrawn","13"
"Withdrawn","14"
"Rejected","33"
"Rejected","34"
"Rejected","35"
"Rejected","36"
"Rejected","37"
"Withdrawn","15"
"Rejected","38"
"Rejected","39"
"Rejected","40"
"Rejected","41"
"Rejected","42"
"Withdrawn","16"
"Rejected","43"
"Rejected","44"
"Withdrawn","17"
"Rejected","45"
"Superseded","5"
"Withdrawn","18"
"Rejected","46"
"Rejected","47"
"Rejected","48"
"Rejected","49"
"Superseded","6"
"Rejected","50"
"Withdrawn","19"
"Rejected","51"
"Withdrawn","20"
"Rejected","52"
"Superseded","7"
"Withdrawn","21"
"Rejected","53"
"Withdrawn","22"
"Withdrawn","23"
"Rejected","54"
"Superseded","8"
"Rejected","55"
"Withdrawn","24"
"Rejected","56"
"April Fool!","1"
"Rejected","57"
"Withdrawn","25"
"Rejected","58"
"Rejected","59"
"Withdrawn","26"
"Rejected","60"
"Withdrawn","27"
"Withdrawn","28"
"Superseded","9"
"Withdrawn","29"
"Superseded","10"
"Rejected","61"
"Rejected","62"
