"Статус","Количество"
"Active","https://peps.python.org/pep-0001"
"Active","https://peps.python.org/pep-0004"
"Active","https://peps.python.org/pep-0005"
"Active","https://peps.python.org/pep-0006"
"Active","https://peps.python.org/pep-0007"
"Active","https://peps.python.org/pep-0008"
"Active","https://peps.python.org/pep-0010"
"Active","https://peps.python.org/pep-0011"
"Active","https://peps.python.org/pep-0012"
"Active","https://peps.python.org/pep-0387"
"Accepted","https://peps.python.org/pep-0581"
"Active","https://peps.python.org/pep-0609"
"Active","https://peps.python.org/pep-0676"
"Active","https://peps.python.org/pep-0013"
"Active","https://peps.python.org/pep-0020"
"Active","https://peps.python.org/pep-0101"
"Final","https://peps.python.org/pep-0247"
"Final","https://peps.python.org/pep-0248"
"Final","https://peps.python.org/pep-0249"
"Active","https://peps.python.org/pep-0257"
"Final","https://peps.python.org/pep-0272"
"Active","https://peps.python.org/pep-0287"
"Active","https://peps.python.org/pep-0290"
"Final","https://peps.python.org/pep-0291"
"Final","https://peps.python.org/pep-0333"
"Active","https://peps.python.org/pep-0394"
"Final","https://peps.python.org/pep-0399"
"Final","https://peps.python.org/pep-0404"
"Active","https://peps.python.org/pep-0411"
"Final","https://peps.python.org/pep-0430"
"Active","https://peps.python.org/pep-0434"
"Active","https://peps.python.org/pep-0440"
"Final","https://peps.python.org/pep-0452"
"Final","https://peps.python.org/pep-0457"
"Active","https://peps.python.org/pep-0478"
"Final","https://peps.python.org/pep-0482"
"Final","https://peps.python.org/pep-0483"
"Accepted","https://peps.python.org/pep-0503"
"Active","https://peps.python.org/pep-0508"
"Active","https://peps.python.org/pep-0514"
"Active","https://peps.python.org/pep-0537"
"Active","https://peps.python.org/pep-0569"
"Final","https://peps.python.org/pep-0579"
"Active","https://peps.python.org/pep-0596"
"Accepted","https://peps.python.org/pep-0600"
"Accepted","https://peps.python.org/pep-0602"
"Final","https://peps.python.org/pep-0607"
"Accepted","https://peps.python.org/pep-0627"
"Active","https://peps.python.org/pep-0630"
"Final","https://peps.python.org/pep-0635"
"Final","https://peps.python.org/pep-0636"
"Accepted","https://peps.python.org/pep-0656"
"Active","https://peps.python.org/pep-0672"
"Final","https://peps.python.org/pep-3333"
"Active","https://peps.python.org/pep-8000"
"Active","https://peps.python.org/pep-8002"
"Accepted","https://peps.python.org/pep-8016"
"Active","https://peps.python.org/pep-8100"
"Active","https://peps.python.org/pep-8101"
"Active","https://peps.python.org/pep-8102"
"Active","https://peps.python.org/pep-8103"
"Accepted","https://peps.python.org/pep-0458"
"Accepted","https://peps.python.org/pep-0544"
"Accepted","https://peps.python.org/pep-0560"
"Accepted","https://peps.python.org/pep-0561"
"Accepted","https://peps.python.org/pep-0563"
"Accepted","https://peps.python.org/pep-0572"
"Accepted","https://peps.python.org/pep-0578"
"Accepted","https://peps.python.org/pep-0585"
"Accepted","https://peps.python.org/pep-0586"
"Accepted","https://peps.python.org/pep-0589"
"Accepted","https://peps.python.org/pep-0590"
"Accepted","https://peps.python.org/pep-0591"
"Accepted","https://peps.python.org/pep-0593"
"Accepted","https://peps.python.org/pep-0594"
"Accepted","https://peps.python.org/pep-0604"
"Accepted","https://peps.python.org/pep-0612"
"Accepted","https://peps.python.org/pep-0613"
"Accepted","https://peps.python.org/pep-0615"
"Accepted","https://peps.python.org/pep-0616"
"Accepted","https://peps.python.org/pep-0617"
"Accepted","https://peps.python.org/pep-0623"
"Accepted","https://peps.python.org/pep-0632"
"Accepted","https://peps.python.org/pep-0634"
"Accepted","https://peps.python.org/pep-0646"
"Accepted","https://peps.python.org/pep-0647"
"Accepted","https://peps.python.org/pep-0654"
"Accepted","https://peps.python.org/pep-0655"
"Accepted","https://peps.python.org/pep-0658"
"Accepted","https://peps.python.org/pep-0660"
"Accepted","https://peps.python.org/pep-0670"
"Accepted","https://peps.python.org/pep-0673"
"Accepted","https://peps.python.org/pep-0675"
"Accepted","https://peps.python.org/pep-0678"
"Accepted","https://peps.python.org/pep-0680"
"Accepted","https://peps.python.org/pep-0685"
"Accepted","https://peps.python.org/pep-3121"
"Draft","https://peps.python.org/pep-0467"
"Draft","https://peps.python.org/pep-0480"
"Draft","https://peps.python.org/pep-0554"
"Draft","https://peps.python.org/pep-0558"
"Draft","https://peps.python.org/pep-0582"
"Draft","https://peps.python.org/pep-0588"
"Draft","https://peps.python.org/pep-0603"
"Draft","https://peps.python.org/pep-0619"
"Draft","https://peps.python.org/pep-0620"
"Draft","https://peps.python.org/pep-0625"
"Draft","https://peps.python.org/pep-0638"
"Draft","https://peps.python.org/pep-0639"
"Draft","https://peps.python.org/pep-0649"
"Draft","https://peps.python.org/pep-0650"
"Draft","https://peps.python.org/pep-0653"
"Draft","https://peps.python.org/pep-0659"
"Draft","https://peps.python.org/pep-0661"
"Draft","https://peps.python.org/pep-0664"
"Draft","https://peps.python.org/pep-0667"
"Draft","https://peps.python.org/pep-0668"
"Draft","https://peps.python.org/pep-0669"
"Draft","https://peps.python.org/pep-0671"
"Draft","https://peps.python.org/pep-0674"
"Draft","https://peps.python.org/pep-0679"
"Draft","https://peps.python.org/pep-0681"
"Draft","https://peps.python.org/pep-0683"
"Draft","https://peps.python.org/pep-0684"
"Draft","https://peps.python.org/pep-0686"
"Draft","https://peps.python.org/pep-0687"
"Draft","https://peps.python.org/pep-0688"
"Draft","https://peps.python.org/pep-0689"
"Draft","https://peps.python.org/pep-0801"
"Final","https://peps.python.org/pep-0100"
"Final","https://peps.python.org/pep-0201"
"Final","https://peps.python.org/pep-0202"
"Final","https://peps.python.org/pep-0203"
"Final","https://peps.python.org/pep-0205"
"Final","https://peps.python.org/pep-0207"
"Final","https://peps.python.org/pep-0208"
"Final","https://peps.python.org/pep-0214"
"Final","https://peps.python.org/pep-0217"
"Final","https://peps.python.org/pep-0218"
"Final","https://peps.python.org/pep-0221"
"Final","https://peps.python.org/pep-0223"
"Final","https://peps.python.org/pep-0227"
"Final","https://peps.python.org/pep-0229"
"Final","https://peps.python.org/pep-0230"
"Final","https://peps.python.org/pep-0232"
"Final","https://peps.python.org/pep-0234"
"Final","https://peps.python.org/pep-0235"
"Final","https://peps.python.org/pep-0236"
"Final","https://peps.python.org/pep-0237"
"Final","https://peps.python.org/pep-0238"
"Final","https://peps.python.org/pep-0241"
"Final","https://peps.python.org/pep-0250"
"Final","https://peps.python.org/pep-0252"
"Final","https://peps.python.org/pep-0253"
"Final","https://peps.python.org/pep-0255"
"Final","https://peps.python.org/pep-0260"
"Final","https://peps.python.org/pep-0261"
"Final","https://peps.python.org/pep-0263"
"Final","https://peps.python.org/pep-0264"
"Final","https://peps.python.org/pep-0273"
"Final","https://peps.python.org/pep-0274"
"Final","https://peps.python.org/pep-0277"
"Final","https://peps.python.org/pep-0278"
"Final","https://peps.python.org/pep-0279"
"Final","https://peps.python.org/pep-0282"
"Final","https://peps.python.org/pep-0285"
"Final","https://peps.python.org/pep-0289"
"Final","https://peps.python.org/pep-0292"
"Final","https://peps.python.org/pep-0293"
"Final","https://peps.python.org/pep-0301"
"Final","https://peps.python.org/pep-0302"
"Final","https://peps.python.org/pep-0305"
"Final","https://peps.python.org/pep-0307"
"Final","https://peps.python.org/pep-0308"
"Final","https://peps.python.org/pep-0309"
"Final","https://peps.python.org/pep-0311"
"Final","https://peps.python.org/pep-0314"
"Final","https://peps.python.org/pep-0318"
"Final","https://peps.python.org/pep-0322"
"Final","https://peps.python.org/pep-0324"
"Final","https://peps.python.org/pep-0327"
"Final","https://peps.python.org/pep-0328"
"Final","https://peps.python.org/pep-0331"
"Final","https://peps.python.org/pep-0338"
"Final","https://peps.python.org/pep-0341"
"Final","https://peps.python.org/pep-0342"
"Final","https://peps.python.org/pep-0343"
"Final","https://peps.python.org/pep-0345"
"Final","https://peps.python.org/pep-0352"
"Final","https://peps.python.org/pep-0353"
"Final","https://peps.python.org/pep-0357"
"Final","https://peps.python.org/pep-0358"
"Final","https://peps.python.org/pep-0362"
"Final","https://peps.python.org/pep-0366"
"Final","https://peps.python.org/pep-0370"
"Final","https://peps.python.org/pep-0371"
"Final","https://peps.python.org/pep-0372"
"Final","https://peps.python.org/pep-0376"
"Final","https://peps.python.org/pep-0378"
"Final","https://peps.python.org/pep-0380"
"Final","https://peps.python.org/pep-0383"
"Final","https://peps.python.org/pep-0384"
"Final","https://peps.python.org/pep-0389"
"Final","https://peps.python.org/pep-0391"
"Final","https://peps.python.org/pep-0393"
"Final","https://peps.python.org/pep-0397"
"Final","https://peps.python.org/pep-0405"
"Final","https://peps.python.org/pep-0409"
"Final","https://peps.python.org/pep-0412"
"Final","https://peps.python.org/pep-0414"
"Final","https://peps.python.org/pep-0415"
"Final","https://peps.python.org/pep-0417"
"Final","https://peps.python.org/pep-0418"
"Final","https://peps.python.org/pep-0420"
"Final","https://peps.python.org/pep-0421"
